iso3,variable,abs_shap,sign,iso2,policy,shap_value,shap_value_normalized
SWE,Stay at home requirements,-0.0011423639072813,-1,SE,stay_at_home_requirements,-0.0011423639072813,0.507682473229377
BEL,International travel controls,-0.0011513661679774,-1,BE,international_travel_controls,-0.0011513661679774,0.5079490146969691
LVA,Stay at home requirements,-0.0011710449295364,-1,LV,stay_at_home_requirements,-0.0011710449295364,0.5085316690060809
ARE,Cancel public events,-0.0011975735288823,-1,AE,cancel_public_events,-0.0011975735288823,0.5093171352396775
JPN,Restrictions on internal movement,-0.0012004086610508,-1,JP,restrictions_on_internal_movement,-0.0012004086610508,0.5094010786306234
PAN,Cancel public events,-0.0012008321174232,-1,PA,cancel_public_events,-0.0012008321174232,0.5094136164460422
LTU,Close public transport,-0.0012320892991247,-1,LT,close_public_transport,-0.0012320892991247,0.5103390878764709
MYS,International travel controls,-0.0012409499562363,-1,MY,international_travel_controls,-0.0012409499562363,0.5106014367052911
QAT,International travel controls,-0.0012481341683085,-1,QA,international_travel_controls,-0.0012481341683085,0.5108141488776955
MMR,Restrictions on gatherings,-0.0012506461707799,-1,MM,restrictions_on_gatherings,-0.0012506461707799,0.510888524953653
MMR,Restrictions on gatherings,-0.0012506461707799,-1,MM,restrictions_on_gatherings,-0.0012506461707799,0.510888524953653
SWE,International travel controls,-0.0012580963697378,-1,SE,international_travel_controls,-0.0012580963697378,0.5111091125406079
GIN,Cancel public events,-0.0012711091278593,-1,GN,cancel_public_events,-0.0012711091278593,0.5114943979443762
DEU,International travel controls,-0.0012845697116911,-1,DE,international_travel_controls,-0.0012845697116911,0.5118929426977769
MCO,Stay at home requirements,-0.001322797371524,-1,MC,stay_at_home_requirements,-0.001322797371524,0.5130247980059538
DNK,Stay at home requirements,-0.0013271955948503,-1,DK,stay_at_home_requirements,-0.0013271955948503,0.5131550218396956
MNG,Close public transport,-0.0013330466201718,-1,MN,close_public_transport,-0.0013330466201718,0.513328260643676
BHR,Stay at home requirements,-0.00133946649412,-1,BH,stay_at_home_requirements,-0.00133946649412,0.5135183420778484
ESP,Cancel public events,-0.0013522749221007,-1,ES,cancel_public_events,-0.0013522749221007,0.5138975776173171
RWA,Workplace closing,-0.0013634967431504,-1,RW,workplace_closing,-0.0013634967431504,0.5142298364523606
PRT,Cancel public events,-0.0013709148971577,-1,PT,cancel_public_events,-0.0013709148971577,0.5144494752434019
CRI,Workplace closing,-0.0013806168306315,-1,CR,workplace_closing,-0.0013806168306315,0.5147367328194581
BHR,Restrictions on gatherings,-0.0013974396242477,-1,BH,restrictions_on_gatherings,-0.0013974396242477,0.5152348268261562
MAR,Cancel public events,-0.0014004866443144,-1,MA,cancel_public_events,-0.0014004866443144,0.5153250438536093
BRA,Cancel public events,-0.0014056628931781,-1,BR,cancel_public_events,-0.0014056628931781,0.51547830368637
SMR,Cancel public events,-0.0014155074860433,-1,SM,cancel_public_events,-0.0014155074860433,0.5157697851618259
QAT,Workplace closing,-0.0014662804577526,-1,QA,workplace_closing,-0.0014662804577526,0.5172730855938243
AUS,Close public transport,-0.0014797228851461,-1,AU,close_public_transport,-0.0014797228851461,0.5176710927662912
CHN,Restrictions on internal movement,-0.0014847849030494,-1,CN,restrictions_on_internal_movement,-0.0014847849030494,0.517820970416636
